Algorithm,Key Generation Timing (ns),Cipher Generation Timing (ns),Secret Generation Timing (ns),Data Size (bytes),Flight Time (ns),Public Key Size (bytes),Cipher Text Size (byes),Secret Key Size (bytes),Plaintext Size (bytes)
firesaber,62604.8,73287.9,80294.1,16,556236.8,1312,1472,3040,32
frodokem1344aes,20665901.2,20797673.4,20725755.9,16,498560,21520,21632,43088,32
frodokem1344shake,9657039.1,10219436.5,10256790.7,16,776678.4,21520,21632,43088,32
frodokem640aes,4657220.6,4826252.4,4805041.3,16,512819.2,9616,9720,19888,16
frodokem640shake,2333256.5,2421348.1,2407639.4,16,603187.2,9616,9720,19888,16
frodokem976aes,10753619.8,10899665.4,10872991,16,723686.4,15632,15744,31296,24
frodokem976shake,5029604.7,5609485.5,5592609.2,16,519910.4,15632,15744,31296,24
kyber1024,80923.1,91792.4,105717.6,16,465536,1568,1568,3168,32
kyber1024_90s,329199.8,335687,351660,16,657894.4,1568,1568,3168,32
kyber512,34625.1,41615.1,49368.7,16,643302.4,800,736,1632,32
kyber512_90s,100683.1,104410.4,111632,16,571904,800,736,1632,32
kyber768,56157.7,65952.9,75420.9,16,724889.6,1184,1088,2400,32
kyber768_90s,201831.5,210665.1,218033.9,16,996684.8,1184,1088,2400,32
lightsaber,24807.7,27958.5,30055.4,16,480025.6,672,736,1568,32
mceliece348864,72122887.4,155603.6,186893.5,16,578432,261120,128,6452,32
mceliece348864f,60833440.9,183860.6,184733.3,16,907494.4,261120,128,6452,32
mceliece460896,292120697.4,484487.7,483045.1,16,1054336,524160,188,13568,32
mceliece460896f,228977723.4,630837.2,408666.3,16,516096,524160,188,13568,32
mceliece6688128,393827836.6,861547.6,459702.1,16,542924.8,1044992,240,13892,32
mceliece6688128f,325335765.5,967428.6,446463.4,16,500044.8,1044992,240,13892,32
mceliece6960119,362165536.4,944417.7,413279.8,16,525568,1047319,226,13908,32
mceliece6960119f,295061191.7,989249.6,570561.6,16,395008,1047319,226,13908,32
mceliece8192128,442524497.7,1059640.4,391647.2,16,496921.6,1357824,240,14080,32
mceliece8192128f,320261507.3,1127245.1,421375.3,16,592665.6,1357824,240,14080,32
ntruhps2048509,2038426.2,146968.3,376507.8,16,453273.6,699,699,935,32
ntruhps2048677,3782179.5,260997.8,697245.7,16,563584,930,930,1234,32
ntruhps4096821,5275100,362516.6,994440.5,16,463820.8,1230,1230,1590,32
ntruhrss701,3935299.3,269852.2,823591.5,16,538982.4,1138,1138,1450,32
saber,43521.9,49060.2,52436.6,16,665958.4,992,1088,2304,32

